"EasyName","PartNumber","AnsiNo","Type","ID","OD","Length","IDTolerance","Material","Hardness","PriceEach"
"Sleeve | OD 3/4 x ID 1/2 x 5/16 Lg","3556N155","L-48-5","SF","0.5","0.75","0.3125","0.0002-0.0005","Steel","Rockwell C61","7.42"
"Sleeve | OD 3/4 x ID 1/2 x 3/8 Lg","3556N156","L-48-6","SF","0.5","0.75","0.375","0.0002-0.0005","Steel","Rockwell C61","8.25"
"Sleeve | OD 3/4 x ID 1/2 x 1/2 Lg","3556N157","L-48-8","SF","0.5","0.75","0.5","0.0002-0.0005","Steel","Rockwell C61","8.25"
"Sleeve | OD 3/4 x ID 1/2 x 3/4 Lg","3556N158","L-48-12","SF","0.5","0.75","0.75","0.0002-0.0005","Steel","Rockwell C61","8.68"
"Sleeve | OD 3/4 x ID 1/2 x 1 Lg","3556N159","L-48-16","SF","0.5","0.75","1.0","0.0002-0.0005","Steel","Rockwell C61","9.56"
"Sleeve | OD 3/4 x ID 1/2 x 1 3/8 Lg","3556N161","L-48-22","SF","0.5","0.75","1.375","0.0002-0.0005","Steel","Rockwell C61","11.99"
"Sleeve | OD 1 x ID 3/4 x 3/8 Lg","3556N179","L-64-6","SF","0.75","1.0","0.375","0.0003-0.0006","Steel","Rockwell C61","11.26"
"Sleeve | OD 1 x ID 3/4 x 1/2 Lg","3556N181","L-64-8","SF","0.75","1.0","0.5","0.0003-0.0006","Steel","Rockwell C61","10.39"
"Sleeve | OD 1 x ID 3/4 x 3/4 Lg","3556N182","L-64-12","SF","0.75","1.0","0.75","0.0003-0.0006","Steel","Rockwell C61","10.39"
"Sleeve | OD 1 x ID 3/4 x 1 Lg","3556N183","L-64-16","SF","0.75","1.0","1.0","0.0003-0.0006","Steel","Rockwell C61","11.01"
"Sleeve | OD 1 x ID 3/4 x 1 3/8 Lg","3556N184","L-64-22","SF","0.75","1.0","1.375","0.0003-0.0006","Steel","Rockwell C61","11.91"
"Sleeve | OD 1 x ID 3/4 x 1 3/4 Lg","3556N185","L-64-28","SF","0.75","1.0","1.75","0.0003-0.0006","Steel","Rockwell C61","14.63"
