"EasyName","PartNumber","AnsiNo","Type","ID","OD","Length","IDTolerance","Material","Hardness","PriceEach"
"Sleeve | OD 5/16 x ID 3/16 x 3/8 Lg","3556N113","L-20-6","SF","0.1875","0.3125","0.375","0.0001-0.0004","Steel","Rockwell C61","9.11"
"Sleeve | OD 5/16 x ID 3/16 x 1/2 Lg","3556N114","L-20-8","SF","0.1875","0.3125","0.5","0.0001-0.0004","Steel","Rockwell C61","9.56"
"Sleeve | OD 7/16 x ID 1/4 x 1/4 Lg","3556N117","L-28-4","SF","0.25","0.4375","0.25","0.0001-0.0004","Steel","Rockwell C61","7.19"
"Sleeve | OD 7/16 x ID 1/4 x 3/8 Lg","3556N119","L-28-6","SF","0.25","0.4375","0.375","0.0001-0.0004","Steel","Rockwell C61","8.08"
"Sleeve | OD 7/16 x ID 1/4 x 1/2 Lg","3556N121","L-28-8","SF","0.25","0.4375","0.5","0.0001-0.0004","Steel","Rockwell C61","8.25"
"Sleeve | OD 7/16 x ID 1/4 x 3/4 Lg","3556N123","L-28-12","SF","0.25","0.4375","0.75","0.0001-0.0004","Steel","Rockwell C61","9.11"
"Sleeve | OD 1/2 x ID 5/16 x 3/8 Lg","3556N126","L-32-6","SF","0.3125","0.5","0.375","0.0001-0.0004","Steel","Rockwell C61","8.08"
"Sleeve | OD 1/2 x ID 5/16 x 1/2 Lg","3556N127","L-32-8","SF","0.3125","0.5","0.5","0.0001-0.0004","Steel","Rockwell C61","8.25"
"Sleeve | OD 1/2 x ID 5/16 x 3/4 Lg","3556N128","L-32-12","SF","0.3125","0.5","0.75","0.0001-0.0004","Steel","Rockwell C61","9.11"
"Sleeve | OD 1/2 x ID 5/16 x 1 Lg","3556N129","L-32-16","SF","0.3125","0.5","1.0","0.0001-0.0004","Steel","Rockwell C61","10.60"
"Sleeve | OD 9/16 x ID 5/16 x 3/8 Lg","3556N134","L-36-6","SF","0.3125","0.5625","0.375","0.0001-0.0004","Steel","Rockwell C61","7.57"
"Sleeve | OD 9/16 x ID 5/16 x 3/4 Lg","3556N137","L-36-12","SF","0.3125","0.5625","0.75","0.0001-0.0004","Steel","Rockwell C61","8.25"
"Sleeve | OD 5/8 x ID 3/8 x 1/2 Lg","3556N143","L-40-8","SF","0.375","0.625","0.5","0.0001-0.0004","Steel","Rockwell C61","7.57"
"Sleeve | OD 5/8 x ID 3/8 x 5/8 Lg","3556N144","L-40-10","SF","0.375","0.625","0.625","0.0001-0.0004","Steel","Rockwell C61","8.08"
