"EasyName","PartNumber","DrillBitSize","Type","ID","OD","Length","IDTolerance","Material","Hardness","Price1to5","Price6to11","Price12Up","PartNumberNote"
"Drill Bushing | OD 1/4 x ID 0.1094 x 1/4 Lg","8493A001","7/64","SF","0.1094","0.25","0.25","0.0001 to 0.0004","Steel","Rockwell C61","19.79","16.79","13.40",""
"Drill Bushing | OD 1/4 x ID 0.125 x 1/4 Lg","8493A002","1/8","SF","0.125","0.25","0.25","0.0001 to 0.0004","Steel","Rockwell C61","19.79","16.79","13.40",""
"Drill Bushing | OD 1/4 x ID 0.125 x 3/8 Lg","8493A004","1/8","SF","0.125","0.25","0.375","0.0001 to 0.0004","Steel","Rockwell C61","20.40","17.31","13.82",""
"Drill Bushing | OD 1/4 x ID 0.125 x 1/2 Lg","8493A012","1/8","SF","0.125","0.25","0.5","0.0001 to 0.0004","Steel","Rockwell C61","21.43","18.18","14.52",""
"Drill Bushing | OD 1/4 x ID 0.125 x 3/4 Lg","8493A413","1/8","SF","0.125","0.25","0.75","0.0001 to 0.0004","Steel","Rockwell C61","24.14","20.48","16.35",""
"Drill Bushing | OD 1/4 x ID 0.1285 x 1/4 Lg","8493A372","30 Ga.","SF","0.1285","0.25","0.25","0.0001 to 0.0004","Steel","Rockwell C61","19.79","16.79","13.40",""
"Drill Bushing | OD 1/4 x ID 0.1285 x 5/16 Lg","8493A003","30 Ga.","SF","0.1285","0.25","0.3125","0.0001 to 0.0004","Steel","Rockwell C61","19.79","16.79","13.40",""
"Drill Bushing | OD 1/4 x ID 0.1285 x 1/2 Lg","8493A227","30 Ga.","SF","0.1285","0.25","0.5","0.0001 to 0.0004","Steel","Rockwell C61","21.43","18.18","14.52",""
"Drill Bushing | OD 1/4 x ID 0.136 x 1/4 Lg","8493A403","29 Ga.","SF","0.136","0.25","0.25","0.0001 to 0.0004","Steel","Rockwell C61","19.79","16.79","13.40",""
"Drill Bushing | OD 1/4 x ID 0.136 x 3/8 Lg","8493A404","29 Ga.","SF","0.136","0.25","0.375","0.0001 to 0.0004","Steel","Rockwell C61","20.40","17.31","13.82",""
"Drill Bushing | OD 1/4 x ID 0.136 x 1/2 Lg","8493A401","29 Ga.","SF","0.136","0.25","0.5","0.0001 to 0.0004","Steel","Rockwell C61","21.43","18.18","14.52",""
"Drill Bushing | OD 1/4 x ID 0.136 x 1 Lg","8493A402","29 Ga.","SF","0.136","0.25","1","0.0001 to 0.0004","Steel","Rockwell C61","34.55","29.31","23.40",""
"Drill Bushing | OD 1/2 x ID 0.152 x 1/2 Lg","8493A533","24 Ga.","SF","0.152","0.5","0.5","0.0001 to 0.0004","Steel","Rockwell C61","9.44","7.80","7.04",""
"Drill Bushing | OD 1/2 x ID 0.1563 x 1/2 Lg","8493A027","5/32","SF","0.1563","0.5","0.5","0.0001 to 0.0004","Steel","Rockwell C61","17.62","14.95","11.94",""
"Drill Bushing | OD 1/2 x ID 0.161 x 1/2 Lg","8493A534","20 Ga.","SF","0.161","0.5","0.5","0.0001 to 0.0004","Steel","Rockwell C61","9.44","7.80","7.04",""
"Drill Bushing | OD 1/2 x ID 0.166 x 1/2 Lg","8493A535","19 Ga.","SF","0.166","0.5","0.5","0.0001 to 0.0004","Steel","Rockwell C61","9.44","7.80","7.04",""
"Drill Bushing | OD 1/2 x ID 0.1695 x 1/2 Lg","8493A536","18 Ga.","SF","0.1695","0.5","0.5","0.0001 to 0.0004","Steel","Rockwell C61","9.44","7.80","7.04",""
"Drill Bushing | OD 1/2 x ID 0.177 x 3/4 Lg","8493A537","16 Ga.","SF","0.177","0.5","0.75","0.0001 to 0.0004","Steel","Rockwell C61","10.85","8.96","8.08",""
"Drill Bushing | OD 1/2 x ID 0.18 x 3/4 Lg","8493A538","15 Ga.","SF","0.18","0.5","0.75","0.0001 to 0.0004","Steel","Rockwell C61","10.85","8.96","8.08",""
